Timestamp [ms],Force Sensor (RL) [V],Force Sensor (LL) [V],EMG (RL) [V],EMG (LL) [V]
2702,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
2733,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
2761,1.4418377321603129,1.4467253176930597,1.4467253176930597,1.4467253176930597
2792,1.4467253176930597,1.4467253176930597,1.4467253176930597,1.4467253176930597
2823,1.4418377321603129,1.4418377321603129,1.436950146627566,1.436950146627566
2854,1.4418377321603129,1.4418377321603129,1.4418377321603129,1.4418377321603129
2891,1.4565004887585533,1.4613880742913001,1.4565004887585533,1.4613880742913001
2926,1.4613880742913001,1.466275659824047,1.466275659824047,1.466275659824047
2965,1.4760508308895406,1.4809384164222874,1.4760508308895406,1.4760508308895406
2997,1.4711632453567938,1.4760508308895406,1.4760508308895406,1.4760508308895406
3028,1.4613880742913001,1.466275659824047,1.466275659824047,1.466275659824047
3058,1.4613880742913001,1.466275659824047,1.466275659824047,1.4613880742913001
3091,1.4613880742913001,1.4613880742913001,1.4613880742913001,1.4613880742913001
3121,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4516129032258065
3153,1.4565004887585533,1.4613880742913001,1.4565004887585533,1.4565004887585533
3183,1.4613880742913001,1.466275659824047,1.466275659824047,1.466275659824047
3213,1.4565004887585533,1.4613880742913001,1.4613880742913001,1.466275659824047
3243,1.4516129032258065,1.4565004887585533,1.4516129032258065,1.4565004887585533
3274,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
3305,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
3337,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
3368,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
3396,1.4516129032258065,1.4613880742913001,1.4565004887585533,1.4613880742913001
3427,1.4418377321603129,1.4467253176930597,1.4467253176930597,1.4467253176930597
3458,1.436950146627566,1.4418377321603129,1.4418377321603129,1.4418377321603129
3488,1.436950146627566,1.4418377321603129,1.436950146627566,1.436950146627566
3520,1.4418377321603129,1.4467253176930597,1.4467253176930597,1.4467253176930597
3551,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
3583,1.4467253176930597,1.4565004887585533,1.4516129032258065,1.4565004887585533
3614,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
3647,1.4565004887585533,1.4613880742913001,1.4613880742913001,1.4613880742913001
3678,1.4613880742913001,1.4613880742913001,1.4613880742913001,1.4613880742913001
3711,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
3743,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
3772,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
3806,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
3835,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
3866,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
3896,1.4467253176930597,1.4516129032258065,1.4565004887585533,1.4565004887585533
3925,1.4320625610948192,1.436950146627566,1.436950146627566,1.436950146627566
3954,1.436950146627566,1.4418377321603129,1.436950146627566,1.436950146627566
3983,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4467253176930597
4018,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
4048,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
4079,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
4110,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
4142,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
4172,1.4418377321603129,1.4418377321603129,1.4418377321603129,1.436950146627566
4203,1.4467253176930597,1.4467253176930597,1.4467253176930597,1.4467253176930597
4232,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
4266,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4613880742913001
4296,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
4327,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
4359,1.4516129032258065,1.4565004887585533,1.4516129032258065,1.4516129032258065
4392,1.4516129032258065,1.4516129032258065,1.4516129032258065,1.4516129032258065
4423,1.4418377321603129,1.4467253176930597,1.4467253176930597,1.4418377321603129
4457,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
4488,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
4518,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
4549,1.4565004887585533,1.4613880742913001,1.4613880742913001,1.4613880742913001
4579,1.4565004887585533,1.4613880742913001,1.4565004887585533,1.4613880742913001
4610,1.4418377321603129,1.4467253176930597,1.4467253176930597,1.4467253176930597
4639,1.4418377321603129,1.4418377321603129,1.436950146627566,1.4418377321603129
4669,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
4699,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
4732,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
4763,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
4793,1.4516129032258065,1.4565004887585533,1.4516129032258065,1.4516129032258065
4826,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
4857,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
4886,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4467253176930597
4916,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
4945,1.4418377321603129,1.4467253176930597,1.4467253176930597,1.4516129032258065
4974,1.436950146627566,1.436950146627566,1.436950146627566,1.436950146627566
5006,1.436950146627566,1.4418377321603129,1.436950146627566,1.436950146627566
5037,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
5066,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
5097,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
5128,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
5159,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
5188,1.436950146627566,1.4418377321603129,1.4418377321603129,1.4418377321603129
5220,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
5251,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
5282,1.4467253176930597,1.4516129032258065,1.4565004887585533,1.4565004887585533
5311,1.4418377321603129,1.4516129032258065,1.4516129032258065,1.4516129032258065
5342,1.4418377321603129,1.4467253176930597,1.4467253176930597,1.4467253176930597
5373,1.436950146627566,1.4418377321603129,1.436950146627566,1.436950146627566
5405,1.4418377321603129,1.4418377321603129,1.4418377321603129,1.4418377321603129
5436,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4467253176930597
5468,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
5498,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
5529,1.4467253176930597,1.4516129032258065,1.4516129032258065,1.4516129032258065
5559,1.436950146627566,1.4418377321603129,1.4418377321603129,1.4418377321603129
5589,1.436950146627566,1.436950146627566,1.436950146627566,1.436950146627566
5617,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
5647,1.4418377321603129,1.4516129032258065,1.4467253176930597,1.4516129032258065
5676,1.4320625610948192,1.436950146627566,1.436950146627566,1.436950146627566
5705,1.4320625610948192,1.4320625610948192,1.4320625610948192,1.4320625610948192
