v1,v2,v3
28,114,47
26,121,47
26,127,48
28,120,48
28,128,48
29,131,48
28,129,49
28,124,47
27,120,48
26,124,45
28,121,48
27,111,49
28,115,46
26,116,47
26,123,46
27,120,49
28,115,48
29,117,48
28,118,47
29,124,47
29,121,45
28,132,48
27,131,48
27,128,48
29,126,48
29,121,48
26,129,48
29,125,47
27,124,49
28,132,49
29,131,48
27,137,47
28,132,50
29,132,49
28,132,49
27,130,51
28,138,51
26,139,50
27,129,53
26,135,52
28,103,57
28,109,55
29,108,55
29,107,55
27,114,56
29,106,58
29,109,58
28,108,56
28,102,55
28,105,55
27,102,55
28,105,54
28,105,53
28,101,53
27,104,54
27,103,53
27,100,53
28,103,53
29,98,51
28,101,52
28,95,50
29,98,51
28,96,51
29,92,51
26,103,52
27,104,49
28,100,49
27,101,50
28,98,49
27,99,49
27,91,48
26,99,49
27,98,50
29,96,48
27,97,47
27,95,48
27,96,49
28,103,49
27,100,49
28,117,49
28,114,49
27,110,46
27,114,49
29,106,49
27,113,48
27,107,50
28,109,49
28,113,52
29,108,50
27,111,49
26,106,52
27,104,50
29,106,52
28,99,52
27,106,53
27,100,54
27,108,52
28,115,54
27,118,55
27,112,53
27,113,54
28,114,55
26,121,54
28,113,57
27,121,55
28,105,54
28,117,56
27,122,55
15,123,55
28,126,57
28,127,56
28,122,56
27,131,57
27,125,56
26,128,56
27,128,56
27,130,54
27,132,57
28,125,55
28,124,55
27,123,57
28,120,57
27,128,56
27,132,57
26,138,55
26,136,55
28,133,56
29,137,56
27,129,55
27,132,54
29,107,55
26,106,53
27,110,53
27,106,56
27,110,55
26,100,54
27,102,53
26,105,54
28,105,55
28,99,55
27,101,53
28,101,54
29,106,53
27,103,54
27,104,51
27,113,53
28,121,50
26,120,52
28,110,50
26,111,50
28,106,49
26,111,51
26,105,50
28,107,50
26,103,52
26,100,50
28,99,49
28,95,49
26,95,48
27,93,49
28,93,49
25,100,48
26,101,47
27,97,50
26,100,46
29,93,69
27,98,47
26,103,48
28,102,49
25,104,48
28,99,47
29,103,46
28,103,47
26,103,48
26,103,46
26,104,48
26,103,49
27,107,47
27,99,48
26,100,46
27,93,48
27,97,49
27,100,49
27,96,49
28,101,50
27,100,48
27,97,49
27,95,50
26,95,51
28,103,52
27,104,53
26,106,73
28,106,52
27,104,54
26,107,53
27,99,52
28,97,53
28,98,53
26,108,52
26,108,53
25,104,53
27,105,53
27,105,55
26,109,54
28,110,54
28,102,54
26,102,54
27,108,54
28,102,54
29,110,54
26,111,55
27,113,56
28,108,56
27,120,55
26,117,53
28,115,50
28,113,54
27,115,55
27,114,53
27,118,55
28,100,54
29,99,55
27,96,54
27,101,55
27,96,54
28,96,54
28,91,55
28,94,53
28,91,54
27,93,53
28,87,54
28,91,53
27,88,51
27,87,52
29,84,52
28,86,52
29,90,51
27,88,51
28,88,52
29,87,51
29,85,47
28,90,48
27,81,50
28,80,51
28,85,50
26,83,51
28,79,48
28,84,48
29,84,47
28,81,48
27,80,50
28,84,47
27,89,49
28,94,49
27,92,49
28,87,47
27,87,47
27,84,47
26,89,45
26,87,47
26,87,49
27,85,48
26,85,48
26,86,48
28,86,48
27,85,50
27,86,48
28,82,48
27,77,50
27,80,50
26,76,50
27,82,51
28,78,52
26,79,52
28,76,52
26,80,53
27,84,54
28,78,53
26,82,54
28,84,52
26,84,53
27,90,53
28,85,54
27,81,54
27,88,53
27,91,55
29,87,54
27,91,54
27,91,55
26,87,54
27,83,56
27,89,55
28,89,55
27,97,56
27,96,55
27,92,54
28,94,57
26,88,55
26,95,53
28,92,54
28,99,55
27,97,53
27,98,55
28,106,54
28,105,54
28,113,54
27,114,55
28,111,53
27,108,54
28,111,53
27,122,53
27,124,54
28,122,55
28,109,55
28,113,54
27,117,55
27,116,55
28,110,54
28,107,54
26,115,55
29,109,53
27,103,53
27,107,53
29,103,52
28,109,52
27,104,53
